playerID,birthYear,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,totalHits,putOuts,assists,errors,Value Counts,AVGAtBats,AVGHits,errorAVG,assistAVG,DoublePlayAVG
aaronha01,1934.0,180.0,72.0,20.17,22.5,42.67,16,0.305,3771.0,7436.0,429.0,144.0,16,549.51,549.51,6.4,19.067,9.689
aaronto01,1939.0,190.0,75.0,22.67,9.42,32.08,0,0.229,216.0,1317.0,113.0,22.0,16,100.21,100.21,2.335,11.996,13.163
abadan01,1972.0,184.0,73.0,29.08,4.58,33.67,0,0.118,2.0,37.0,1.0,1.0,16,3.71,3.71,0.218,0.218,0.655
abadijo01,1850.0,192.0,72.0,24.42,0.17,24.58,0,0.224,11.0,129.0,3.0,13.0,16,288.24,288.24,76.471,17.647,5.882
abbated01,1877.0,170.0,71.0,20.42,13.0,33.42,0,0.254,772.0,1873.0,2368.0,315.0,16,233.92,233.92,24.231,182.154,19.0
abbotfr01,1874.0,180.0,70.0,28.5,2.42,30.92,0,0.209,107.0,768.0,185.0,40.0,16,211.98,211.98,16.529,76.446,10.744
abbotje01,1972.0,190.0,74.0,24.83,4.25,29.08,0,0.263,157.0,299.0,2.0,8.0,16,140.24,140.24,1.882,0.471,0.0
abbotku01,1969.0,180.0,71.0,24.25,7.58,31.83,0,0.256,523.0,938.0,1262.0,79.0,16,269.66,269.66,10.422,166.491,36.28
abercre01,1980.0,215.0,75.0,25.75,2.42,28.17,0,0.223,86.0,272.0,7.0,6.0,16,159.5,159.5,2.479,2.893,0.826
abernbr01,1977.0,185.0,73.0,23.75,4.25,28.0,0,0.246,212.0,445.0,590.0,22.0,16,202.59,202.59,5.176,138.824,36.235
abnersh01,1966.0,190.0,73.0,21.25,5.08,26.33,0,0.227,191.0,566.0,10.0,4.0,16,165.35,165.35,0.787,1.969,0.591
abramca01,1924.0,185.0,72.0,25.08,7.08,32.17,0,0.269,433.0,468.0,15.0,9.0,16,227.54,227.54,1.271,2.119,0.282
abreubo01,1974.0,220.0,72.0,22.5,18.0,40.5,2,0.291,2470.0,3952.0,136.0,73.0,16,471.11,471.11,4.056,7.556,1.333
abreujo02,1987.0,250.0,75.0,27.17,6.5,33.67,2,0.293,1038.0,6215.0,438.0,51.0,16,545.69,545.69,7.846,67.385,103.846
abreuto01,1984.0,200.0,70.0,22.5,7.17,29.67,0,0.256,147.0,164.0,327.0,19.0,16,80.2,80.2,2.65,45.607,9.205
abstebi01,1883.0,185.0,72.0,23.58,3.75,27.33,0,0.242,150.0,1685.0,93.0,41.0,16,165.07,165.07,10.933,24.8,22.133
ackledu01,1988.0,205.0,73.0,23.33,4.92,28.25,0,0.241,512.0,1144.0,805.0,18.0,16,431.91,431.91,3.659,163.618,38.618
acunaro01,1997.0,205.0,72.0,20.33,2.42,22.75,0,0.285,302.0,509.0,13.0,8.0,16,437.6,437.6,3.306,5.372,0.413
adairje01,1936.0,175.0,72.0,21.75,11.67,33.42,0,0.254,1022.0,2380.0,2878.0,103.0,16,344.39,344.39,8.826,246.615,52.956
adamecr01,1991.0,217.0,71.0,23.0,5.17,28.17,0,0.222,70.0,105.0,200.0,8.0,16,60.93,60.93,1.547,38.685,7.544
adamewi01,1995.0,210.0,72.0,22.67,2.33,25.0,0,0.263,215.0,249.0,580.0,31.0,16,351.5,351.5,13.305,248.927,48.069
adamsbe01,1891.0,185.0,73.0,19.17,9.08,28.25,0,0.202,137.0,12.0,15.0,1.0,16,74.67,74.67,0.11,1.652,0.11
adamsbo03,1921.0,160.0,70.0,24.33,13.0,37.33,0,0.269,1082.0,352.0,451.0,36.0,16,309.0,309.0,2.769,34.692,4.692
adamsbo04,1952.0,200.0,74.0,25.5,0.17,25.67,0,0.25,6.0,26.0,1.0,0.0,16,141.18,141.18,0.0,5.882,5.882
adamsda02,1987.0,205.0,74.0,26.0,0.33,26.33,0,0.193,27.0,56.0,76.0,1.0,16,424.24,424.24,3.03,230.303,36.364
adamsgl01,1947.0,180.0,73.0,27.58,7.42,35.0,0,0.28,452.0,183.0,6.0,8.0,16,217.92,217.92,1.078,0.809,0.135
adamsla01,1989.0,190.0,76.0,24.83,4.0,28.83,0,0.269,36.0,60.0,1.0,2.0,16,33.5,33.5,0.5,0.25,0.0
adamsma01,1988.0,245.0,75.0,23.75,8.25,32.0,0,0.261,609.0,4298.0,361.0,39.0,16,283.15,283.15,4.727,43.758,48.727
adamsmi02,1948.0,180.0,69.0,24.17,5.83,30.0,0,0.198,23.0,57.0,8.0,1.0,16,19.9,19.9,0.172,1.372,0.343
adamsri02,1959.0,180.0,74.0,23.67,3.08,26.75,0,0.215,53.0,99.0,254.0,14.0,16,80.19,80.19,4.545,82.468,14.935
adamsru01,1980.0,205.0,72.0,24.08,4.75,28.83,0,0.247,218.0,331.0,573.0,46.0,16,186.11,186.11,9.684,120.632,23.789
adamsry01,1987.0,185.0,71.0,24.08,0.33,24.42,0,0.281,25.0,47.0,62.0,2.0,16,269.7,269.7,6.061,187.879,48.485
adcocjo01,1927.0,210.0,76.0,22.5,16.5,39.0,0,0.277,1832.0,11416.0,771.0,74.0,16,400.36,400.36,4.485,46.727,64.364
adducji01,1959.0,200.0,77.0,24.08,5.83,29.92,0,0.236,34.0,137.0,13.0,1.0,16,24.7,24.7,0.172,2.23,1.029
adducji02,1985.0,210.0,74.0,28.33,5.75,34.08,0,0.235,92.0,501.0,18.0,8.0,16,68.0,68.0,1.391,3.13,4.348
addybo01,1842.0,160.0,68.0,29.25,6.42,35.67,0,0.277,341.0,478.0,306.0,207.0,16,191.74,191.74,32.243,47.664,3.271
adlesda01,1943.0,187.0,72.0,19.83,5.33,25.17,0,0.178,43.0,453.0,26.0,4.0,16,45.4,45.4,0.75,4.878,0.375
