playerID,birthYear,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,totalAtBats,totalHits,Value Counts
aaronha01,1934.0,180.0,72.0,20.17,22.5,42.67,16,0.305,12364.0,3771.0,16
aaronto01,1939.0,190.0,75.0,22.67,9.42,32.08,0,0.229,944.0,216.0,16
abadan01,1972.0,184.0,73.0,29.08,4.58,33.67,0,0.118,17.0,2.0,16
abadijo01,1850.0,192.0,72.0,24.42,0.17,24.58,0,0.224,49.0,11.0,16
abbated01,1877.0,170.0,71.0,20.42,13.0,33.42,0,0.254,3041.0,772.0,16
abbotfr01,1874.0,180.0,70.0,28.5,2.42,30.92,0,0.209,513.0,107.0,16
abbotje01,1972.0,190.0,74.0,24.83,4.25,29.08,0,0.263,596.0,157.0,16
abbotku01,1969.0,180.0,71.0,24.25,7.58,31.83,0,0.256,2044.0,523.0,16
abbotod01,1886.0,165.0,69.0,24.0,0.08,24.08,0,0.186,70.0,13.0,16
abercre01,1980.0,215.0,75.0,25.75,2.42,28.17,0,0.223,386.0,86.0,16
abernbr01,1977.0,185.0,73.0,23.75,4.25,28.0,0,0.246,861.0,212.0,16
aberscl01,1921.0,200.0,72.0,25.92,1.83,27.75,0,0.262,172.0,45.0,11
abnersh01,1966.0,190.0,73.0,21.25,5.08,26.33,0,0.227,840.0,191.0,16
abramca01,1924.0,185.0,72.0,25.08,7.08,32.17,0,0.269,1611.0,433.0,16
abreubo01,1974.0,220.0,72.0,22.5,18.0,40.5,2,0.291,8480.0,2470.0,16
abreujo01,1913.0,160.0,68.0,28.92,0.25,29.17,0,0.214,28.0,6.0,11
abreujo02,1987.0,250.0,75.0,27.17,6.5,33.67,2,0.293,3547.0,1038.0,16
abreuto01,1984.0,200.0,70.0,22.5,7.17,29.67,0,0.256,575.0,147.0,16
abstebi01,1883.0,185.0,72.0,23.58,3.75,27.33,0,0.242,619.0,150.0,16
ackledu01,1988.0,205.0,73.0,23.33,4.92,28.25,0,0.241,2125.0,512.0,16
acostme01,1896.0,140.0,67.0,17.08,5.25,22.33,0,0.256,434.0,111.0,11
acunaro01,1997.0,205.0,72.0,20.33,2.42,22.75,0,0.285,1059.0,302.0,16
adairje01,1936.0,175.0,72.0,21.75,11.67,33.42,0,0.254,4019.0,1022.0,16
adairji01,1907.0,154.0,70.0,24.58,0.08,24.67,0,0.276,76.0,21.0,11
adamecr01,1991.0,217.0,71.0,23.0,5.17,28.17,0,0.222,315.0,70.0,16
adamewi01,1995.0,210.0,72.0,22.67,2.33,25.0,0,0.263,819.0,215.0,16
adamsbe01,1891.0,185.0,73.0,19.17,9.08,28.25,0,0.202,678.0,137.0,16
adamsbo03,1921.0,160.0,70.0,24.33,13.0,37.33,0,0.269,4017.0,1082.0,16
adamsbo04,1952.0,200.0,74.0,25.5,0.17,25.67,0,0.25,24.0,6.0,16
adamsbu01,1915.0,180.0,72.0,23.83,8.42,32.25,0,0.266,2002.0,532.0,11
adamsda02,1987.0,205.0,74.0,26.0,0.33,26.33,0,0.193,140.0,27.0,16
adamsdi01,1920.0,185.0,72.0,27.08,0.33,27.42,0,0.202,89.0,18.0,11
adamsdo01,1943.0,185.0,75.0,26.67,0.08,26.75,0,0.214,14.0,3.0,16
adamsge01,1855.0,175.0,66.0,24.42,0.0,24.42,0,0.231,13.0,3.0,16
adamsgl01,1947.0,180.0,73.0,27.58,7.42,35.0,0,0.28,1617.0,452.0,16
adamshe01,1928.0,160.0,69.0,20.42,1.92,22.33,0,0.261,337.0,88.0,11
adamsla01,1989.0,190.0,76.0,24.83,4.0,28.83,0,0.269,134.0,36.0,16
adamsma01,1988.0,245.0,75.0,23.75,8.25,32.0,0,0.261,2336.0,609.0,16
adamsmi02,1948.0,180.0,69.0,24.17,5.83,30.0,0,0.198,116.0,23.0,16
adamsri02,1959.0,180.0,74.0,23.67,3.08,26.75,0,0.215,247.0,53.0,16
adamsru01,1980.0,205.0,72.0,24.08,4.75,28.83,0,0.247,884.0,218.0,16
adamsry01,1987.0,185.0,71.0,24.08,0.33,24.42,0,0.281,89.0,25.0,16
adamssp01,1894.0,151.0,65.0,28.08,12.0,40.08,0,0.286,5557.0,1588.0,11
adamssp02,1898.0,158.0,69.0,24.83,4.5,29.33,0,0.256,395.0,101.0,11
adcocjo01,1927.0,210.0,76.0,22.5,16.5,39.0,0,0.277,6606.0,1832.0,16
addisbo01,1925.0,175.0,72.0,24.83,2.75,27.58,0,0.282,531.0,150.0,11
adducji01,1959.0,200.0,77.0,24.08,5.83,29.92,0,0.236,144.0,34.0,16
adducji02,1985.0,210.0,74.0,28.33,5.75,34.08,0,0.235,391.0,92.0,16
addybo01,1842.0,160.0,68.0,29.25,6.42,35.67,0,0.277,1231.0,341.0,16
aderhmo01,1915.0,188.0,73.0,24.0,6.0,30.0,0,0.269,260.0,70.0,11
adkindi01,1920.0,165.0,70.0,22.5,0.0,22.5,0,0.143,7.0,1.0,11
adlesda01,1943.0,187.0,72.0,19.83,5.33,25.17,0,0.178,242.0,43.0,16
afenitr01,1963.0,185.0,76.0,24.0,4.83,28.83,0,0.19,79.0,15.0,16
agbaybe01,1971.0,225.0,72.0,26.5,4.25,30.75,0,0.274,1091.0,299.0,16
ageeto01,1942.0,195.0,71.0,20.08,11.0,31.08,3,0.255,3912.0,999.0,16
agganha01,1929.0,200.0,74.0,25.0,1.17,26.17,0,0.261,517.0,135.0,16
aglerjo01,1887.0,165.0,71.0,25.33,3.0,28.33,0,0.247,750.0,185.0,11
agnewsa01,1887.0,185.0,71.0,26.0,6.42,32.42,0,0.204,1537.0,314.0,11
aguaylu01,1959.0,173.0,69.0,21.08,9.42,30.5,0,0.236,1104.0,260.0,16
aguilch01,1979.0,200.0,71.0,25.33,4.08,29.42,0,0.23,230.0,53.0,16
aguilje01,1990.0,277.0,75.0,23.92,6.33,30.25,0,0.258,1137.0,293.0,16
ahmedni01,1990.0,200.0,74.0,24.25,6.25,30.5,0,0.236,2014.0,475.0,16
aikenwi01,1954.0,220.0,75.0,22.58,7.92,30.5,0,0.271,2492.0,675.0,16
aingeda01,1959.0,175.0,76.0,20.17,2.33,22.5,0,0.22,665.0,146.0,16
aitonge01,1890.0,175.0,71.0,21.5,0.08,21.58,0,0.235,17.0,4.0,11
akejo01,1861.0,180.0,73.0,22.75,0.17,22.92,0,0.192,52.0,10.0,16
akersbi01,1904.0,178.0,71.0,24.75,2.83,27.58,0,0.261,475.0,124.0,11
alberbu01,1950.0,205.0,74.0,28.33,0.0,28.33,0,0.278,18.0,5.0,11
albergu01,1860.0,180.0,66.0,23.67,7.33,31.0,0,0.197,426.0,84.0,16
albieoz01,1997.0,165.0,68.0,20.58,3.08,23.67,0,0.279,1496.0,418.0,16
albrija01,1921.0,175.0,69.0,25.92,0.17,26.08,0,0.232,99.0,23.0,11
alcanar01,1991.0,170.0,70.0,22.75,3.08,25.83,0,0.189,428.0,81.0,16
alcanis01,1973.0,180.0,74.0,27.08,2.17,29.25,0,0.27,115.0,31.0,16
alcarlu01,1941.0,165.0,69.0,26.25,2.75,29.0,0,0.192,365.0,70.0,16
alcocsc01,1885.0,160.0,69.0,28.42,0.33,28.75,0,0.173,156.0,27.0,11
aldrico01,1979.0,210.0,72.0,22.25,8.83,31.08,0,0.077,13.0,1.0,16
alenoch01,1917.0,215.0,73.0,24.25,3.33,27.58,0,0.209,320.0,67.0,11
