playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
aardsda01,1981.0,215.0,75.0,22.33,0,1.0,2.0,331.0,4.273,9.08,0.08,0.774,0.053,39.392,0.427
aasedo01,1954.0,190.0,75.0,22.83,0,1.0,10.0,448.0,3.797,5.2,0.105,1.095,0.081,38.374,0.535
abadfe01,1985.0,235.0,74.0,24.58,0,0.0,2.0,384.0,3.674,7.621,0.054,1.007,0.054,38.078,0.218
abbeybe01,1869.0,175.0,71.0,22.58,0,0.0,4.0,79.0,4.516,2.551,0.349,2.123,0.063,40.69,0.349
abbotgl01,1951.0,200.0,78.0,22.42,0,1.0,12.0,248.0,4.388,3.387,0.119,1.309,0.084,38.547,0.434
abbotji01,1967.0,200.0,75.0,21.58,2,0.0,16.0,263.0,4.253,4.774,0.048,1.613,0.086,38.769,0.468
abbotky01,1968.0,200.0,76.0,23.58,0,0.0,0.0,57.0,5.196,6.022,0.049,1.214,0.0,39.577,0.194
abbotpa01,1967.0,185.0,75.0,22.92,0,0.0,8.0,162.0,4.92,6.194,0.075,0.949,0.1,39.801,0.537
aberal01,1927.0,195.0,74.0,23.17,0,0.0,5.0,144.0,4.184,3.907,0.139,1.41,0.116,39.252,0.555
abernte02,1933.0,215.0,76.0,22.08,2,0.0,16.0,681.0,3.458,5.999,0.165,2.384,0.125,38.92,0.494
ablesha01,1883.0,200.0,74.0,21.92,0,1.0,0.0,11.0,4.037,5.173,0.252,1.388,0.0,39.995,0.126
abreuwi01,1977.0,170.0,74.0,29.33,0,1.0,0.0,38.0,7.308,7.714,0.0,0.406,0.0,42.023,0.0
accarje01,1981.0,195.0,72.0,23.42,0,0.0,5.0,262.0,4.3,6.481,0.032,1.107,0.158,38.635,0.316
aceveal01,1982.0,205.0,74.0,25.67,0,1.0,5.0,204.0,3.833,6.673,0.142,0.899,0.118,37.838,0.734
acevejo01,1977.0,185.0,72.0,23.5,0,0.0,3.0,104.0,5.742,6.182,0.0,0.953,0.073,39.779,0.44
aceveju01,1970.0,245.0,74.0,24.92,0,0.0,1.0,367.0,4.326,5.526,0.126,1.074,0.016,39.284,0.442
achteaj01,1988.0,215.0,77.0,26.08,0,1.0,0.0,45.0,3.919,4.79,0.145,0.726,0.0,38.758,0.29
ackerji01,1958.0,210.0,74.0,24.58,0,0.0,11.0,467.0,3.971,4.797,0.02,1.602,0.109,38.495,0.328
ackerto01,1930.0,215.0,76.0,26.08,0,0.0,1.0,153.0,4.117,6.058,0.024,1.16,0.024,38.548,0.45
acklefr01,1937.0,202.0,73.0,26.42,0,0.0,0.0,5.0,4.19,7.914,0.0,2.793,0.0,39.103,0.466
acostcy01,1946.0,165.0,70.0,25.58,0,1.0,3.0,107.0,2.661,5.274,0.194,1.016,0.145,37.161,0.629
acosted01,1944.0,215.0,77.0,26.5,0,0.0,1.0,57.0,4.053,4.576,0.065,0.85,0.065,38.833,0.392
acostma01,1981.0,215.0,76.0,26.25,0,1.0,6.0,233.0,3.992,7.948,0.145,1.343,0.218,38.831,0.472
acrema01,1968.0,235.0,80.0,25.67,0,1.0,0.0,114.0,5.173,6.945,0.071,0.638,0.0,41.244,0.638
adamja01,1991.0,229.0,75.0,26.75,0,1.0,1.0,54.0,4.833,9.167,0.167,0.667,0.167,38.833,0.5
adamsau01,1986.0,205.0,71.0,27.92,0,1.0,0.0,68.0,6.451,6.929,0.119,1.075,0.0,41.456,0.239
adamsau02,1991.0,220.0,75.0,26.17,0,1.0,1.0,38.0,3.789,14.921,0.237,0.237,0.237,39.316,0.474
adamsba01,1882.0,185.0,71.0,23.92,2,0.0,1.0,64.0,2.755,3.113,0.03,0.261,0.003,35.897,0.583
adamsch01,1994.0,215.0,73.0,24.0,0,1.0,0.0,16.0,8.182,7.364,0.0,0.545,0.0,43.091,0.273
adamsjo02,1971.0,185.0,76.0,24.75,0,0.0,0.0,44.0,4.894,6.281,0.245,1.224,0.0,39.48,0.408
adamsmi01,1947.0,185.0,74.0,19.83,0,0.0,0.0,11.0,7.461,4.974,0.0,1.066,0.0,43.342,0.0
adamsmi03,1978.0,210.0,77.0,25.83,0,1.0,4.0,408.0,2.408,9.037,0.022,0.95,0.088,36.523,0.464
adamsri01,1878.0,165.0,72.0,26.58,0,0.0,0.0,11.0,3.59,3.59,0.287,2.872,0.0,38.92,0.287
adamste01,1973.0,180.0,75.0,22.42,0,0.0,6.0,574.0,4.172,7.154,0.145,1.346,0.062,39.351,0.528
adamswi02,1972.0,215.0,79.0,23.67,0,1.0,0.0,25.0,5.814,7.017,0.0,1.069,0.0,40.834,0.401
adcocna01,1988.0,235.0,76.0,23.08,0,1.0,0.0,56.0,4.171,5.854,0.22,1.171,0.0,39.585,0.146
adenhni01,1986.0,185.0,75.0,21.75,0,1.0,0.0,4.0,6.0,4.5,0.0,0.5,0.0,45.0,0.5
adkindo01,1872.0,220.0,70.0,29.83,0,0.0,0.0,6.0,5.0,1.0,0.0,2.333,0.0,43.333,0.333
